,kmeans_3,dbscan,spectral_3
33626,0,-1,1
33723,1,0,1
33820,1,0,1
33917,1,0,2
34014,1,0,2
34110,1,0,1
34207,1,0,1
34304,1,0,1
34401,1,0,1
34498,1,0,1
34595,1,0,1
34692,1,0,1
34789,1,0,2
34886,1,0,1
34983,1,0,1
35080,1,0,1
35176,1,0,1
35273,1,0,1
35370,1,0,2
35467,2,0,1
35564,2,0,1
35661,1,0,1
35758,1,0,1
35855,1,0,2
35952,1,0,2
36049,1,0,1
36145,2,0,1
36242,1,0,2
36339,1,0,1
36436,1,0,2
36533,1,0,1
36630,2,0,1
36727,2,-1,1
36824,2,0,1
36921,0,0,1
37018,2,-1,1
37115,2,-1,1
37211,1,0,1
37308,1,0,1
37405,2,-1,1
37502,1,0,1
37599,1,0,1
37696,2,-1,1
37793,1,0,1
37890,1,0,1
37987,1,0,1
38084,1,0,2
38180,1,0,1
38277,1,0,1
38374,0,-1,1
38471,1,0,1
38568,1,0,2
38665,1,0,1
38762,1,0,1
38859,1,0,2
38956,1,0,1
39053,0,0,1
39150,1,0,1
39246,1,0,1
39343,2,0,1
39440,1,0,1
39537,1,0,2
39634,1,0,1
39731,2,-1,1
39828,2,0,1
39925,1,0,1
40022,1,0,2
40119,1,0,1
40215,1,0,2
40312,1,0,1
40409,2,-1,1
40506,2,0,1
40603,0,-1,1
40700,1,0,1
40797,1,0,1
40894,0,0,1
40991,1,0,1
41088,2,0,1
41185,1,0,1
41281,1,0,1
41378,1,0,1
41475,1,0,2
41572,2,-1,1
41669,2,-1,1
41766,1,0,1
41863,2,0,1
41960,2,0,1
42057,1,0,1
42154,2,-1,0
42250,1,0,2
42347,2,0,0
42444,2,0,1
42541,2,0,1
42638,2,0,1
42735,2,-1,1
42832,1,0,1
42929,1,0,1
43026,2,0,1
43123,2,0,0
43220,1,0,2
43316,1,0,1
43413,1,0,2
43510,2,0,1
43607,2,-1,1
43704,2,0,1
43801,2,0,0
43898,1,0,2
43995,2,0,1
44092,2,0,1
44189,1,0,1
44285,2,-1,1
44382,2,0,1
44479,2,0,1
44576,1,0,1
44673,1,0,1
44770,2,-1,1
44867,2,-1,1
44964,2,0,1
45061,1,0,2
45158,1,0,1
45255,2,-1,1
45351,2,0,1
45448,1,0,1
45545,1,0,1
45642,2,0,1
45739,1,0,2
45836,2,0,0
45933,2,0,1
46030,1,0,1
46127,2,0,1
46224,0,-1,1
46320,2,-1,1
46417,1,0,1
46514,0,-1,1
46611,1,0,1
46708,1,0,2
46805,2,-1,1
46902,1,0,1
46999,1,0,1
47096,0,-1,1
47193,1,0,1
47290,1,0,2
47386,0,-1,1
47483,1,0,1
47580,2,0,1
47677,1,0,1
47774,1,0,2
47871,1,0,1
47968,1,0,1
48065,1,0,1
48162,2,0,1
48259,1,-1,1
48355,2,0,1
48452,1,0,1
48549,2,0,1
48646,0,-1,1
48743,1,0,1
48840,2,-1,1
48937,2,0,1
49034,2,0,1
49131,2,-1,1
49228,2,-1,1
49325,1,0,1
49421,1,0,1
49518,2,0,1
49615,2,0,1
49712,2,-1,1
49809,2,-1,1
49906,2,-1,1
50003,2,-1,1
50100,2,-1,1
50197,2,-1,1
50294,1,0,1
50390,2,-1,1
50487,2,-1,1
50584,2,0,1
50681,2,0,1
50778,2,0,1
50875,2,-1,1
50972,1,0,2
51069,2,0,1
51166,2,-1,1
51263,2,0,0
51360,2,0,1
51456,0,-1,1
51553,2,0,1
51650,0,-1,1
51747,1,0,1
51844,2,-1,1
51941,1,0,1
52038,0,-1,1
52135,2,0,1
52232,2,-1,1
52329,1,0,1
52425,1,0,1
52522,1,0,1
52619,1,0,2
52716,0,-1,1
52813,1,0,1
52910,1,0,1
53007,1,0,1
53104,2,-1,1
53201,0,-1,1
53298,1,0,1
53395,2,-1,0
53491,2,0,1
53588,2,-1,1
53685,2,-1,1
53782,2,0,1
53879,1,0,1
53976,2,-1,1
54073,2,0,1
54170,0,-1,1
54267,2,-1,1
54364,0,-1,1
54460,2,-1,1
54557,0,-1,1
54654,2,0,1
54751,2,0,1
54848,2,0,0
54945,2,0,1
55042,2,-1,1
55139,1,0,1
55236,2,0,1
55333,2,0,0
55430,1,0,2
55526,1,0,1
55623,1,0,1
55720,2,0,1
55817,2,-1,1
55914,1,0,1
56011,1,0,1
56108,2,0,1
56205,2,-1,0
56302,1,0,2
56399,2,0,1
56495,1,0,1
56592,1,0,1
56689,2,0,1
56786,1,0,2
56883,1,0,1
56980,2,0,1
57077,2,-1,1
57174,1,0,1
57271,2,0,1
57368,1,0,1
57465,2,0,0
57561,2,0,1
57658,1,0,1
57755,1,0,1
57852,0,-1,1
57949,0,-1,1
58046,2,0,1
58143,2,-1,1
58240,0,-1,1
58337,1,0,1
58434,0,-1,1
58530,1,0,1
58627,2,0,1
58724,1,0,1
58821,2,0,1
58918,1,0,1
59015,0,-1,1
59112,2,0,1
59209,1,0,1
59306,0,-1,1
59403,1,-1,1
59500,2,-1,1
59596,2,0,1
59693,0,-1,1
59790,2,-1,1
59887,2,0,1
59984,1,0,2
60081,1,0,2
60178,2,0,1
60275,2,0,1
60372,1,0,2
60469,1,0,1
60565,1,0,1
60662,2,0,1
60759,0,-1,1
60856,2,0,1
60953,1,0,1
61050,2,0,0
61147,1,0,2
61244,1,0,1
61341,1,0,1
61438,1,0,1
61535,1,0,1
61631,1,0,2
61728,2,-1,1
61825,1,0,1
61922,1,0,1
62019,1,0,1
62116,1,0,1
62213,1,0,1
62310,0,-1,1
62407,1,0,1
62504,2,0,1
62600,2,0,1
62697,1,0,1
62794,1,0,2
62891,1,0,1
62988,1,0,1
63085,2,0,1
63182,1,0,1
63279,1,0,2
63376,2,0,1
63473,2,0,1
63570,1,0,1
63666,2,0,1
63763,1,0,1
63860,1,0,1
63957,1,0,1
64054,2,0,1
64151,0,-1,1
64248,1,0,2
64345,1,0,1
64442,2,0,1
64539,1,0,1
64635,1,0,1
64732,1,0,1
64829,2,0,1
64926,1,0,1
65023,2,0,1
65120,1,0,2
65217,2,0,1
65314,1,0,1
65411,1,0,2
65508,2,0,1
65605,2,0,1
65701,2,-1,1
65798,1,0,1
65895,1,0,2
65992,0,-1,1
66089,1,0,1
66186,1,0,1
66283,1,0,2
66380,1,0,2
66477,1,0,1
66574,2,0,1
66670,2,0,0
66767,1,0,1
66864,2,0,1
66961,1,0,1
67058,2,0,1
67155,2,0,1
67252,2,-1,1
67349,1,0,1
67446,1,0,1
67543,1,0,2
67640,1,0,1
67736,2,-1,1
67833,1,0,1
67930,1,0,1
68027,0,-1,1
68124,0,-1,1
68221,1,0,1
68318,1,0,1
68415,1,0,1
68512,2,0,1
68609,2,0,1
68705,1,0,2
68802,0,-1,1
68899,2,0,1
68996,1,0,2
69093,2,0,0
69190,1,0,1
69287,1,0,1
69384,2,0,1
69481,2,0,0
69578,1,0,1
69675,1,0,2
69771,2,0,1
69868,1,0,1
69965,2,-1,1
70062,0,-1,1
70159,1,0,2
70256,1,0,1
70353,1,0,1
70450,1,0,1
70547,1,0,2
70644,1,0,1
70740,1,0,1
70837,1,0,1
70934,2,0,1
71031,2,0,1
71128,1,0,1
71225,1,0,1
71322,1,0,1
71419,0,-1,1
71516,2,0,1
71613,1,0,1
71710,1,0,1
71806,1,0,1
71903,2,-1,1
72000,2,0,1
72097,2,0,1
72194,2,0,1
72291,1,0,2
72388,1,0,2
72485,2,0,1
72582,0,-1,1
72679,1,0,2
72775,2,0,0
72872,1,0,2
72969,1,0,1
73066,1,0,1
73163,2,0,1
73260,1,0,1
73357,1,0,2
73454,2,0,1
73551,1,0,2
73648,1,0,1
73745,2,0,1
73841,2,0,0
73938,2,-1,1
74035,0,-1,1
74132,1,0,1
74229,2,-1,1
74326,2,-1,1
74423,2,0,1
74520,2,0,1
74617,2,0,1
74714,1,0,2
74810,2,-1,1
74907,1,0,1
75004,1,0,1
75101,1,0,1
75198,1,0,1
75295,1,0,1
75392,1,0,1
75489,1,0,1
75586,1,0,1
75683,1,-1,1
75780,2,0,0
75876,1,0,1
75973,2,0,0
76070,1,0,1
76167,1,0,1
76264,2,0,1
76361,1,0,1
76458,1,0,1
76555,1,0,1
76652,2,0,1
76749,1,0,1
76845,2,0,1
76942,0,-1,1
77039,1,0,1
77136,0,-1,1
77233,2,0,1
77330,1,0,2
77427,2,0,1
77524,2,0,1
77621,1,0,1
77718,1,0,1
77815,1,0,1
77911,1,0,2
78008,1,0,1
78105,2,0,1
78202,1,0,1
78299,1,0,2
78396,2,-1,0
78493,2,0,0
78590,2,0,1
78687,1,0,1
78784,2,0,0
78880,2,0,1
78977,1,0,1
79074,1,0,2
79171,1,0,2
79268,2,0,0
79365,1,0,1
79462,0,-1,1
79559,2,-1,1
79656,1,0,2
79753,1,0,2
79850,1,0,1
79946,0,-1,1
80043,2,0,1
80140,1,0,1
80237,1,0,1
80334,2,-1,1
80431,2,0,1
80528,1,0,1
80625,1,0,1
80722,1,0,2
80819,1,0,1
80915,1,0,1
81012,2,0,0
81109,2,-1,1
81206,2,0,1
81303,1,0,1
81400,1,0,1
81497,1,0,1
81594,1,0,1
81691,2,0,1
81788,1,0,2
81885,2,0,1
81981,1,0,2
82078,1,0,2
82175,2,0,1
82272,1,0,1
82369,2,-1,1
82466,1,0,1
82563,1,0,1
82660,1,0,1
82757,0,0,1
82854,1,0,1
82950,1,0,1
83047,1,0,1
83144,2,0,1
83241,2,0,1
83338,2,0,1
83435,1,0,1
83532,1,0,1
83629,1,0,1
83726,2,0,0
83823,2,0,1
83920,2,0,1
84016,1,0,1
84113,2,0,1
84210,1,0,1
84307,1,0,1
84404,2,0,1
84501,1,0,1
84598,1,0,2
84695,1,0,1
84792,2,0,1
84889,0,-1,1
84985,1,0,1
85082,1,0,1
85179,1,0,2
85276,2,0,0
85373,1,0,1
85470,1,0,2
85567,1,0,2
85664,1,0,1
85761,1,0,1
85858,1,0,1
85955,1,0,1
86051,2,0,0
86148,1,0,1
86245,1,0,1
86342,1,0,1
86439,1,0,1
86536,1,0,1
86633,1,0,2
86730,1,0,1
86827,0,-1,1
86924,1,0,1
87020,1,0,2
87117,1,0,1
87214,1,0,1
87311,1,0,1
87408,1,0,1
87505,1,0,1
87602,1,0,1
87699,1,0,2
87796,1,0,2
87893,1,0,1
87990,1,0,1
88086,1,0,1
88183,1,0,2
88280,1,0,2
88377,2,-1,1
88474,1,0,1
88571,1,0,1
88668,1,0,2
88765,2,0,1
88862,1,0,2
88959,0,-1,1
89055,2,-1,1
89152,1,0,1
89249,2,0,1
89346,2,0,0
89443,1,0,1
89540,1,0,1
89637,0,-1,1
89734,1,0,1
89831,2,0,1
89928,2,0,1
90025,2,0,1
90121,1,0,1
90218,1,0,1
90315,1,0,2
90412,0,-1,1
90509,1,0,1
90606,2,0,1
90703,1,0,1
90800,1,0,2
90897,1,0,2
90994,1,0,1
91090,2,0,1
91187,1,0,2
91284,1,0,1
91381,1,0,1
91478,2,-1,0
91575,1,0,2
91672,1,0,1
91769,1,0,2
91866,1,0,1
91963,1,0,1
92060,1,0,1
92156,1,0,1
92253,2,0,1
92350,0,-1,1
92447,0,-1,1
92544,1,0,1
92641,1,0,2
92738,1,0,1
92835,1,0,1
92932,1,0,1
93029,1,0,1
93125,0,-1,1
93222,1,0,1
93319,1,0,1
93416,1,0,2
93513,1,0,2
93610,1,0,1
93707,0,-1,1
93804,1,0,2
93901,1,0,1
93998,1,0,2
94095,1,0,2
94191,2,0,1
94288,1,0,2
94385,1,0,1
94482,0,-1,1
94579,1,0,1
94676,1,0,2
94773,1,0,2
94870,0,-1,1
94967,2,0,1
95064,1,0,1
95160,0,-1,1
95257,1,0,1
95354,0,-1,1
95451,1,0,1
95548,1,0,2
95645,2,0,1
95742,0,0,1
95839,1,0,1
95936,1,0,1
96033,2,0,1
96130,1,0,1
96226,1,0,1
96323,0,-1,1
96420,1,0,1
96517,1,0,1
96614,1,0,1
96711,1,0,1
96808,1,0,1
96905,2,0,1
97002,1,0,1
97099,2,-1,1
97195,0,0,1
97292,1,0,1
97389,0,-1,1
97486,1,0,1
97583,2,-1,1
97680,1,0,1
97777,2,-1,0
97874,1,0,1
97971,1,0,1
98068,1,0,1
98165,1,0,1
98261,1,0,1
98358,1,0,2
98455,1,0,1
98552,1,0,1
98649,2,0,1
98746,1,0,1
98843,1,0,2
98940,1,0,1
99037,2,0,1
99134,1,0,1
99230,1,0,1
99327,1,0,1
99424,1,0,1
99521,1,0,1
99618,1,0,2
99715,2,-1,1
99812,2,0,1
99909,1,0,2
100006,1,0,2
100103,1,0,1
100200,1,0,2
100296,1,0,1
100393,1,0,2
100490,1,0,1
100587,1,0,1
100684,0,-1,1
100781,0,-1,1
100878,1,0,2
100975,1,0,1
101072,2,0,1
101169,1,0,1
101265,1,0,1
101362,0,-1,1
101459,1,0,1
101556,0,-1,1
101653,1,0,1
101750,2,0,1
101847,1,0,2
101944,1,0,1
102041,2,0,1
102138,1,0,1
102235,1,0,1
102331,2,-1,1
102428,2,0,1
102525,2,0,1
102622,1,0,2
102719,1,0,2
102816,1,0,1
102913,1,0,1
103010,1,0,1
103107,2,0,1
103204,1,0,1
103300,1,0,1
103397,1,0,1
103494,1,0,2
103591,1,0,2
103688,1,0,1
103785,1,0,1
103882,1,0,1
103979,2,0,0
104076,1,0,1
104173,1,0,1
104270,1,0,2
104366,1,0,1
104463,2,0,1
104560,1,0,1
104657,1,0,1
104754,1,0,1
104851,1,0,1
104948,1,0,1
105045,2,-1,1
105142,1,0,2
105239,2,0,1
105335,2,0,0
105432,1,0,2
105529,1,0,2
105626,2,0,1
105723,1,0,2
105820,0,-1,1
105917,2,0,1
106014,1,0,1
106111,1,0,2
106208,0,0,1
106305,1,0,2
106401,1,0,2
106498,1,0,1
106595,1,0,1
106692,0,-1,1
106789,1,0,1
106886,2,0,1
106983,2,0,0
107080,1,0,1
107177,1,0,1
107274,1,0,1
107370,2,0,1
107467,2,-1,1
107564,1,0,1
107661,1,0,1
107758,1,0,1
107855,2,0,0
107952,2,0,1
108049,2,-1,1
108146,1,0,1
108243,2,0,1
108340,1,0,2
108436,1,0,1
108533,2,-1,1
108630,1,0,1
108727,1,0,2
108824,1,0,1
108921,1,0,2
109018,1,0,2
109115,1,0,2
109212,1,0,1
109309,1,0,1
109405,1,0,1
109502,1,0,2
109599,1,0,1
109696,1,0,1
109793,2,0,1
109890,0,-1,1
109987,2,-1,1
110084,2,0,1
110181,1,0,2
110278,0,-1,1
110375,1,0,2
110471,1,0,2
110568,2,0,0
110665,1,0,1
110762,1,0,2
110859,1,0,2
110956,1,0,2
111053,1,0,1
111150,1,0,2
111247,1,0,2
111344,1,0,2
111440,1,0,2
111537,1,0,2
111634,1,0,2
111731,1,0,1
111828,1,0,2
111925,1,0,1
112022,1,0,2
112119,1,0,1
112216,1,0,2
112313,1,0,2
112410,1,0,2
112506,1,0,2
112603,1,0,2
112700,1,0,2
112797,1,0,2
112894,1,0,2
112991,1,0,1
113088,1,0,2
113185,1,0,2
113282,1,0,2
113379,2,0,1
113475,1,0,2
113572,1,0,1
113669,1,0,1
113766,1,0,2
113863,2,0,1
113960,1,0,2
114057,1,0,2
114154,1,0,1
114251,1,0,2
114348,1,0,1
114445,1,0,2
114541,1,0,2
114638,1,0,1
114735,1,0,2
114832,1,0,2
114929,1,0,1
115026,1,0,2
115123,1,0,2
115220,1,0,1
115317,1,0,2
115414,1,0,1
115510,1,0,1
115607,1,0,2
115704,1,0,2
115801,1,0,2
115898,1,0,1
115995,1,0,2
116092,1,0,2
116189,1,0,1
116286,1,0,2
116383,1,0,2
116480,1,0,2
116576,1,0,2
116673,0,-1,1
116770,1,0,2
116867,1,0,2
116964,1,0,2
117061,1,0,1
117158,1,0,2
117255,1,0,2
117352,1,0,1
117449,1,0,1
117545,1,0,2
117642,2,0,1
117739,1,0,2
117836,1,0,2
117933,1,0,2
118030,1,0,2
118127,1,0,2
118224,1,0,2
118321,1,0,2
118418,1,0,1
118515,1,0,2
118611,1,0,1
118708,0,-1,1
118805,1,0,2
118902,1,0,1
118999,0,-1,1
119096,0,-1,1
119193,1,-1,1
119290,1,0,1
119387,0,-1,1
119484,1,0,2
119580,1,0,2
119677,0,-1,1
119774,1,0,2
119871,1,-1,1
119968,1,0,2
120065,1,0,1
120162,1,0,1
120259,1,0,1
120356,1,0,2
120453,1,0,2
120550,1,0,2
120646,1,0,1
120743,1,0,2
120840,2,0,1
120937,1,0,2
121034,1,0,2
121131,1,0,2
121228,2,0,1
121325,1,0,2
121422,1,0,2
121519,1,0,1
121615,1,0,2
121712,1,0,1
121809,1,0,1
121906,1,0,1
122003,1,0,2
122100,1,0,2
122197,1,0,2
122294,1,0,1
122391,1,0,1
122488,1,0,1
122585,1,0,2
122681,0,-1,1
122778,0,-1,1
122875,2,0,1
122972,1,0,1
123069,1,0,1
123166,0,-1,1
123263,0,-1,1
123360,1,0,1
123457,0,-1,1
123554,2,0,0
123650,1,0,1
123747,1,0,2
123844,1,0,1
123941,2,0,1
124038,1,0,2
124135,0,-1,1
124232,1,0,2
124329,1,0,1
124426,1,0,1
124523,1,0,1
124620,1,-1,1
124716,1,0,1
124813,0,-1,1
124910,1,0,2
125007,1,0,1
125104,1,0,1
125201,1,0,1
125298,1,0,1
125395,1,0,2
125492,2,-1,0
125589,1,0,2
125685,2,0,0
125782,1,0,1
125879,1,0,1
125976,1,0,1
126073,1,0,1
126170,0,-1,1
126267,2,0,0
126364,1,0,1
126461,2,0,1
126558,0,-1,1
126655,0,-1,1
126751,0,-1,1
126848,1,0,1
126945,1,0,1
127042,1,0,2
127139,1,0,1
127236,1,-1,1
127333,0,-1,1
127430,1,0,2
127527,0,-1,1
127624,1,-1,1
127720,0,-1,1
127817,1,0,2
127914,1,0,1
128011,1,0,1
128108,2,0,1
128205,0,-1,1
128302,1,0,1
128399,2,0,1
128496,2,0,1
128593,2,0,1
128690,1,0,1
128786,1,0,1
128883,1,0,1
128980,1,0,1
129077,0,-1,1
129174,1,0,1
129271,2,0,0
129368,1,0,1
129465,2,0,0
129562,1,0,2
129659,1,0,2
129755,2,-1,1
129852,2,0,1
129949,0,-1,1
130046,1,0,2
130143,1,0,1
130240,0,-1,1
130337,1,0,1
130434,0,-1,1
130531,2,0,1
130628,0,-1,1
130725,1,0,1
130821,1,0,1
130918,0,-1,1
131015,0,-1,1
131112,1,0,2
131209,2,0,1
131306,1,0,1
131403,1,0,2
131500,1,0,1
131597,1,0,2
131694,1,0,2
131790,0,-1,1
131887,0,-1,1
131984,1,0,1
132081,1,0,2
132178,1,0,1
132275,1,0,2
132372,1,0,2
132469,0,-1,1
132566,1,0,2
132663,1,0,1
132760,1,0,2
132856,0,-1,1
132953,2,-1,0
133050,1,0,2
133147,1,0,1
133244,2,-1,1
133341,1,0,1
133438,1,0,1
133535,1,0,1
133632,2,0,0
133729,1,0,2
133825,1,0,2
133922,1,0,1
134019,1,0,1
134116,1,0,2
134213,1,0,1
134310,1,0,1
134407,1,0,1
134504,0,-1,1
134601,0,-1,1
134698,1,0,1
134795,2,0,1
134891,2,0,1
134988,1,0,1
135085,2,0,1
135182,1,0,1
135279,0,-1,1
135376,0,-1,1
135473,1,0,1
135570,1,0,2
135667,1,-1,1
135764,1,0,1
135860,1,0,1
135957,1,0,1
136054,1,0,1
136151,0,-1,1
136248,1,0,1
136345,1,0,2
136442,1,0,2
136539,1,0,2
136636,1,0,2
136733,1,0,2
136830,1,0,1
136926,1,0,2
137023,1,0,2
137120,1,0,2
137217,1,0,2
137314,1,0,2
137411,1,0,2
137508,1,0,2
137605,0,-1,1
137702,1,0,2
137799,2,0,1
137895,1,0,1
137992,1,0,2
138089,1,0,1
138186,2,0,1
138283,1,0,1
138380,1,0,1
138477,1,0,2
138574,2,0,1
138671,1,0,2
138768,1,0,1
138865,0,-1,1
138961,2,0,0
139058,2,0,1
139155,1,0,2
139252,1,0,1
139349,1,0,1
139446,1,0,1
139543,1,0,2
139640,0,-1,1
139737,1,0,1
139834,2,0,0
139930,1,0,1
140027,2,0,1
140124,1,0,1
140221,1,0,1
140318,1,0,2
140415,1,0,1
140512,1,0,1
140609,1,0,1
140706,1,0,1
140803,1,0,2
140900,1,0,1
140996,1,0,1
141093,0,0,1
141190,2,-1,1
141287,1,0,1
141384,2,0,0
141481,1,0,1
141578,1,0,2
141675,1,0,2
141772,1,0,1
141869,1,0,1
141965,1,0,1
142062,1,0,1
142159,1,0,2
142256,1,0,1
142353,1,0,1
142450,2,0,0
142547,1,0,1
142644,1,0,1
142741,2,0,0
142838,1,0,1
142935,1,0,1
143031,1,-1,1
143128,2,0,0
143225,1,0,1
143322,1,0,2
143419,2,0,0
143516,1,0,1
143613,1,0,2
143710,1,0,1
143807,1,0,1
143904,1,-1,1
144000,1,-1,1
144097,1,0,2
144194,1,0,2
144291,1,0,1
144388,2,0,1
144485,1,0,2
144582,0,-1,1
144679,1,0,1
144776,1,0,2
144873,1,0,2
144970,1,0,2
145066,1,0,2
145163,1,0,2
145260,1,0,1
145357,0,-1,1
145454,1,0,1
145551,2,0,0
145648,1,0,2
145745,1,0,2
145842,1,0,2
145939,1,0,1
146035,1,0,2
146132,1,0,1
146229,1,0,1
146326,1,0,1
146423,0,-1,1
146520,1,0,1
146617,1,0,2
146714,1,0,1
146811,0,-1,1
146908,1,0,1
147005,1,0,2
147101,1,0,1
147198,1,0,2
147295,0,-1,1
147392,1,0,1
147489,1,0,1
